"x","y","t","cluster"
-4.20596510153264,9.16787980422377,0,0
5.70844168178737,7.9655210933648,0,0
-1.80225694812834,3.77596451276913,0,1
7.58374459929764,5.85025487020612,0,0
8.72125222901814,-9.4126490467228,0,0
-8.99798131207936,-0.439639772381634,0,0
0.556488663330674,5.11749884295277,0,0
7.76989707900211,-5.61512287049554,0,0
1.01841328642331,-3.60001604883,0,1
-0.859028240991757,-5.31380945001729,0,0
9.04530023792759,-7.07255955683067,0,0
-0.923983707418666,-1.69198255087249,0,1
3.51589858196676,-1.70825833934359,0,1
1.4381413587369,-2.59686007169075,0,1
-7.8620912832208,-6.88159399470314,0,0
7.91653441395611,-7.1516399437096,0,0
-5.02746285977773,-5.28592483084649,0,0
-9.06722123608924,-0.673943484993652,0,0
-3.40716975820251,-4.63374172076583,0,0
8.9991722531151,7.08498876378872,0,0
7.71287845806219,-8.99254289986566,0,0
3.81750744190067,-1.14443853073753,0,1
2.78203491261229,5.91871194373816,0,0
9.78654157714918,-7.48639465249144,0,0
3.08297482249327,1.20677007841878,0,1
4.1289032697212,-5.81067848559469,0,0
0.87250728928484,-7.37487332518213,0,0
1.86401200485416,5.01549571319483,0,0
-4.17463720156811,7.82189811123535,0,0
-6.98714978322387,-2.48563703745604,0,0
-0.738608616869897,0.631535895168781,0,1
0.306203850079328,0.0525451386347413,0,1
-0.312967055477202,-0.593919900245965,0,1
0.313516255933791,0.696215360891074,0,1
-0.359253515023738,-0.259011569898576,0,1
-0.624617761466652,-0.393349658232182,0,1
0.564588602632284,0.541194093879312,0,1
-0.81281002657488,0.466897109989077,0,1
-0.06644191686064,0.677811996545643,0,1
0.0230109198018909,0.138097684830427,0,1
0.19997791852802,-0.94743832340464,0,1
-0.334352919366211,-0.027745543513447,0,1
-0.0227739326655865,0.0853620655834675,0,1
0.908947654999793,0.673320233821869,0,1
-0.0341952056623995,0.457329076249152,0,1
0.780700444243848,0.110227613709867,0,1
0.828876373823732,-0.853171205148101,0,1
0.217469964642078,-0.726995401550084,0,1
-0.178620446939021,0.369217392522842,0,1
-0.705810618121177,-0.80075612757355,0,1
0.870599606540054,-0.592428189702332,0,1
-0.397542200051248,-0.268039723392576,0,1
-0.878558856900781,0.692391515243798,0,1
0.895453880075365,-0.526254808995873,0,1
0.441192546859384,0.409755701199174,0,1
-0.715411408804357,-0.784782338421792,0,1
0.098569312132895,0.558137737214565,0,1
0.908182477112859,-0.489788633305579,0,1
0.170966706238687,0.0960866520181298,0,1
-0.190979436505586,-0.932196958456188,0,1
0.29578695865348,0.612218952272087,0,1
-0.360358765814453,-0.324494385626167,0,1
-0.384559978265315,0.832571716047823,0,1
-0.560464737471193,-0.285787164233625,0,1
-0.261022268328816,0.950730026233941,0,1
0.96843840694055,-0.231242954730988,0,1
-0.691595398355275,-0.022652929648757,0,1
-0.817912000231445,-0.0184475374408066,0,1
-0.716186184436083,-0.975490751676261,0,1
0.380014203023165,0.282946401275694,0,1
0.238512966781855,0.0251499433070421,0,1
0.782788234297186,-0.359295763541013,0,1
0.345998185221106,0.162866315338761,0,1
0.474155475851148,0.234688816592097,0,1
0.0422714515589178,-0.123450924642384,0,1
0.31967689935118,-0.659262038767338,0,1
0.643610920291394,0.430160993244499,0,1
0.572563103400171,0.49557309737429,0,1
0.959643834736198,0.687829416245222,0,1
